"","word","sentiment"
"269","bashed","negative"
"270","bashful","negative"
"271","bashing","negative"
"272","bastard","negative"
"273","bastards","negative"
"274","battered","negative"
"275","battering","negative"
"276","batty","negative"
"277","bearish","negative"
"278","beastly","negative"
"279","bedlam","negative"
"280","bedlamite","negative"
"281","befoul","negative"
"282","beg","negative"
"283","beggar","negative"
"284","beggarly","negative"
"285","begging","negative"
"286","beguile","negative"
"287","belabor","negative"
"288","belated","negative"
"289","beleaguer","negative"
"290","belie","negative"
"291","belittle","negative"
"292","belittled","negative"
"293","belittling","negative"
"294","bellicose","negative"
"295","belligerence","negative"
"296","belligerent","negative"
"297","belligerently","negative"
"298","bemoan","negative"
"299","bemoaning","negative"
"300","bemused","negative"
"301","bent","negative"
"302","berate","negative"
"303","bereave","negative"
"304","bereavement","negative"
"305","bereft","negative"
"306","berserk","negative"
"307","beseech","negative"
"308","beset","negative"
"309","besiege","negative"
"310","besmirch","negative"
"311","bestial","negative"
"312","betray","negative"
"313","betrayal","negative"
"314","betrayals","negative"
"315","betrayer","negative"
"316","betraying","negative"
"317","betrays","negative"
"318","bewail","negative"
"319","beware","negative"
"320","bewilder","negative"
"321","bewildered","negative"
"322","bewildering","negative"
"323","bewilderingly","negative"
"324","bewilderment","negative"
"325","bewitch","negative"
"326","bias","negative"
"327","biased","negative"
"328","biases","negative"
"329","bicker","negative"
"330","bickering","negative"
"331","bid-rigging","negative"
"332","bigotries","negative"
"333","bigotry","negative"
"334","bitch","negative"
"335","bitchy","negative"
"336","biting","negative"
"337","bitingly","negative"
"338","bitter","negative"
"339","bitterly","negative"
"340","bitterness","negative"
"341","bizarre","negative"
"342","blab","negative"
"343","blabber","negative"
"344","blackmail","negative"
"345","blah","negative"
"346","blame","negative"
"347","blameworthy","negative"
"348","bland","negative"
"349","blandish","negative"
"350","blaspheme","negative"
"351","blasphemous","negative"
"352","blasphemy","negative"
"353","blasted","negative"
"354","blatant","negative"
"355","blatantly","negative"
"356","blather","negative"
"357","bleak","negative"
"358","bleakly","negative"
"359","bleakness","negative"
"360","bleed","negative"
"361","bleeding","negative"
"362","bleeds","negative"
"363","blemish","negative"
"364","blind","negative"
"365","blinding","negative"
"366","blindingly","negative"
"367","blindside","negative"
"368","blister","negative"
"369","blistering","negative"
"370","bloated","negative"
"371","blockage","negative"
"372","blockhead","negative"
"373","bloodshed","negative"
"374","bloodthirsty","negative"
"375","bloody","negative"
"376","blotchy","negative"
"377","blow","negative"
"378","blunder","negative"
"379","blundering","negative"
"380","blunders","negative"
"381","blunt","negative"
"382","blur","negative"
"383","bluring","negative"
"384","blurred","negative"
"385","blurring","negative"
"386","blurry","negative"
"387","blurs","negative"
"388","blurt","negative"
"389","boastful","negative"
"390","boggle","negative"
"391","bogus","negative"
"392","boil","negative"
"393","boiling","negative"
"394","boisterous","negative"
"395","bomb","negative"
"396","bombard","negative"
"397","bombardment","negative"
"398","bombastic","negative"
"399","bondage","negative"
"400","bonkers","negative"
"401","bore","negative"
"402","bored","negative"
"403","boredom","negative"
"404","bores","negative"
"405","boring","negative"
"406","botch","negative"
"407","bother","negative"
"408","bothered","negative"
"409","bothering","negative"
"410","bothers","negative"
"411","bothersome","negative"
"412","bowdlerize","negative"
"413","boycott","negative"
"414","braggart","negative"
"415","bragger","negative"
"416","brainless","negative"
"417","brainwash","negative"
"418","brash","negative"
"419","brashly","negative"
"420","brashness","negative"
"421","brat","negative"
"422","bravado","negative"
"423","brazen","negative"
"424","brazenly","negative"
"425","brazenness","negative"
"426","breach","negative"
"427","break","negative"
"428","break-up","negative"
"429","break-ups","negative"
"430","breakdown","negative"
"431","breaking","negative"
"432","breaks","negative"
"433","breakup","negative"
"434","breakups","negative"
"435","bribery","negative"
"436","brimstone","negative"
"437","bristle","negative"
"438","brittle","negative"
"439","broke","negative"
"440","broken","negative"
"441","broken-hearted","negative"
"442","brood","negative"
"443","browbeat","negative"
"444","bruise","negative"
"445","bruised","negative"
"446","bruises","negative"
"447","bruising","negative"
"448","brusque","negative"
"449","brutal","negative"
"450","brutalising","negative"
"451","brutalities","negative"
"452","brutality","negative"
"453","brutalize","negative"
"454","brutalizing","negative"
"455","brutally","negative"
"456","brute","negative"
"457","brutish","negative"
"458","bs","negative"
"459","buckle","negative"
"460","bug","negative"
"461","bugging","negative"
"462","buggy","negative"
"463","bugs","negative"
"464","bulkier","negative"
"465","bulkiness","negative"
"466","bulky","negative"
"467","bulkyness","negative"
"468","bull****","negative"
"469","bull----","negative"
"470","bullies","negative"
"471","bullshit","negative"
"472","bullshyt","negative"
"473","bully","negative"
"474","bullying","negative"
"475","bullyingly","negative"
"476","bum","negative"
"477","bump","negative"
"478","bumped","negative"
"479","bumping","negative"
"480","bumpping","negative"
"481","bumps","negative"
"482","bumpy","negative"
"483","bungle","negative"
"484","bungler","negative"
"485","bungling","negative"
"486","bunk","negative"
"487","burden","negative"
"488","burdensome","negative"
"489","burdensomely","negative"
"490","burn","negative"
"491","burned","negative"
"492","burning","negative"
"493","burns","negative"
"494","bust","negative"
"495","busts","negative"
"496","busybody","negative"
"497","butcher","negative"
"498","butchery","negative"
"499","buzzing","negative"
"500","byzantine","negative"
"501","cackle","negative"
"502","calamities","negative"
"503","calamitous","negative"
"504","calamitously","negative"
"505","calamity","negative"
"506","callous","negative"
"507","calumniate","negative"
"508","calumniation","negative"
"509","calumnies","negative"
"510","calumnious","negative"
"511","calumniously","negative"
"512","calumny","negative"
"513","cancer","negative"
"514","cancerous","negative"
"515","cannibal","negative"
"516","cannibalize","negative"
"517","capitulate","negative"
"518","capricious","negative"
"519","capriciously","negative"
"520","capriciousness","negative"
"521","capsize","negative"
"522","careless","negative"
"523","carelessness","negative"
"524","caricature","negative"
"525","carnage","negative"
"526","carp","negative"
"527","cartoonish","negative"
"528","cash-strapped","negative"
"529","castigate","negative"
"530","castrated","negative"
"531","casualty","negative"
"532","cataclysm","negative"
"533","cataclysmal","negative"
"534","cataclysmic","negative"
"535","cataclysmically","negative"
"536","catastrophe","negative"
"537","catastrophes","negative"
"538","catastrophic","negative"
"539","catastrophically","negative"
"540","catastrophies","negative"
"541","caustic","negative"
"542","caustically","negative"
"543","cautionary","negative"
"544","cave","negative"
"545","censure","negative"
"546","chafe","negative"
"547","chaff","negative"
"548","chagrin","negative"
"549","challenging","negative"
"550","chaos","negative"
"551","chaotic","negative"
"552","chasten","negative"
"553","chastise","negative"
"554","chastisement","negative"
"555","chatter","negative"
"556","chatterbox","negative"
"557","cheap","negative"
"558","cheapen","negative"
"559","cheaply","negative"
"560","cheat","negative"
"561","cheated","negative"
"562","cheater","negative"
"563","cheating","negative"
"564","cheats","negative"
"565","checkered","negative"
"566","cheerless","negative"
"567","cheesy","negative"
"568","chide","negative"
"569","childish","negative"
"570","chill","negative"
"571","chilly","negative"
"572","chintzy","negative"
"573","choke","negative"
"574","choleric","negative"
"575","choppy","negative"
"576","chore","negative"
"577","chronic","negative"
"578","chunky","negative"
"579","clamor","negative"
"580","clamorous","negative"
"581","clash","negative"
"582","cliche","negative"
"583","cliched","negative"
"584","clique","negative"
"585","clog","negative"
"586","clogged","negative"
"587","clogs","negative"
"588","cloud","negative"
"589","clouding","negative"
"590","cloudy","negative"
"591","clueless","negative"
"592","clumsy","negative"
"593","clunky","negative"
"594","coarse","negative"
"595","cocky","negative"
"596","coerce","negative"
"597","coercion","negative"
"598","coercive","negative"
"599","cold","negative"
"600","coldly","negative"
"601","collapse","negative"
"602","collude","negative"
"603","collusion","negative"
"604","combative","negative"
"605","combust","negative"
"606","comical","negative"
"607","commiserate","negative"
"608","commonplace","negative"
"609","commotion","negative"
"610","commotions","negative"
"611","complacent","negative"
"612","complain","negative"
"613","complained","negative"
"614","complaining","negative"
"615","complains","negative"
"616","complaint","negative"
"617","complaints","negative"
"618","complex","negative"
"619","complicated","negative"
"620","complication","negative"
"621","complicit","negative"
"622","compulsion","negative"
"623","compulsive","negative"
"624","concede","negative"
"625","conceded","negative"
"626","conceit","negative"
"627","conceited","negative"
"628","concen","negative"
"629","concens","negative"
"630","concern","negative"
"631","concerned","negative"
"632","concerns","negative"
"633","concession","negative"
"634","concessions","negative"
"635","condemn","negative"
"636","condemnable","negative"
"637","condemnation","negative"
"638","condemned","negative"
"639","condemns","negative"
"640","condescend","negative"
"641","condescending","negative"
"642","condescendingly","negative"
"643","condescension","negative"
"644","confess","negative"
"645","confession","negative"
"646","confessions","negative"
"647","confined","negative"
"648","conflict","negative"
"649","conflicted","negative"
"650","conflicting","negative"
"651","conflicts","negative"
"652","confound","negative"
"653","confounded","negative"
"654","confounding","negative"
"655","confront","negative"
"656","confrontation","negative"
"657","confrontational","negative"
"658","confuse","negative"
"659","confused","negative"
"660","confuses","negative"
"661","confusing","negative"
"662","confusion","negative"
"663","confusions","negative"
"664","congested","negative"
"665","congestion","negative"
"666","cons","negative"
"667","conscons","negative"
"668","conservative","negative"
"669","conspicuous","negative"
"670","conspicuously","negative"
"671","conspiracies","negative"
"672","conspiracy","negative"
"673","conspirator","negative"
"674","conspiratorial","negative"
"675","conspire","negative"
"676","consternation","negative"
"677","contagious","negative"
"678","contaminate","negative"
"679","contaminated","negative"
"680","contaminates","negative"
"681","contaminating","negative"
"682","contamination","negative"
"683","contempt","negative"
"684","contemptible","negative"
"685","contemptuous","negative"
"686","contemptuously","negative"
"687","contend","negative"
"688","contention","negative"
"689","contentious","negative"
"690","contort","negative"
"691","contortions","negative"
"692","contradict","negative"
"693","contradiction","negative"
"694","contradictory","negative"
"695","contrariness","negative"
"696","contravene","negative"
"697","contrive","negative"
"698","contrived","negative"
"699","controversial","negative"
"700","controversy","negative"
"701","convoluted","negative"
"702","corrode","negative"
"703","corrosion","negative"
"704","corrosions","negative"
"705","corrosive","negative"
"706","corrupt","negative"
"707","corrupted","negative"
"708","corrupting","negative"
"709","corruption","negative"
"710","corrupts","negative"
"711","corruptted","negative"
"712","costlier","negative"
"713","costly","negative"
"714","counter-productive","negative"
"715","counterproductive","negative"
"716","coupists","negative"
"717","covetous","negative"
"718","coward","negative"
"719","cowardly","negative"
"720","crabby","negative"
"721","crack","negative"
"722","cracked","negative"
"723","cracks","negative"
"724","craftily","negative"
"725","craftly","negative"
"726","crafty","negative"
"727","cramp","negative"
"728","cramped","negative"
"729","cramping","negative"
"730","cranky","negative"
"731","crap","negative"
"732","crappy","negative"
"733","craps","negative"
"734","crash","negative"
"735","crashed","negative"
"736","crashes","negative"
"737","crashing","negative"
"738","crass","negative"
"739","craven","negative"
"740","cravenly","negative"
"741","craze","negative"
"742","crazily","negative"
"743","craziness","negative"
"744","crazy","negative"
"745","creak","negative"
"746","creaking","negative"
"747","creaks","negative"
"748","credulous","negative"
"749","creep","negative"
"750","creeping","negative"
"751","creeps","negative"
"752","creepy","negative"
"753","crept","negative"
"754","crime","negative"
"755","criminal","negative"
"756","cringe","negative"
"757","cringed","negative"
"758","cringes","negative"
"759","cripple","negative"
"760","crippled","negative"
"761","cripples","negative"
"762","crippling","negative"
"763","crisis","negative"
"764","critic","negative"
"765","critical","negative"
"766","criticism","negative"
"767","criticisms","negative"
"768","criticize","negative"
"769","criticized","negative"
"770","criticizing","negative"
"771","critics","negative"
"772","cronyism","negative"
"773","crook","negative"
"774","crooked","negative"
"775","crooks","negative"
"776","crowded","negative"
"777","crowdedness","negative"
"778","crude","negative"
"779","cruel","negative"
"780","crueler","negative"
"781","cruelest","negative"
"782","cruelly","negative"
"783","cruelness","negative"
"784","cruelties","negative"
"785","cruelty","negative"
"786","crumble","negative"
"787","crumbling","negative"
"788","crummy","negative"
"789","crumple","negative"
"790","crumpled","negative"
"791","crumples","negative"
"792","crush","negative"
"793","crushed","negative"
"794","crushing","negative"
"795","cry","negative"
"796","culpable","negative"
"797","culprit","negative"
"798","cumbersome","negative"
"799","cunt","negative"
"800","cunts","negative"
"801","cuplrit","negative"
"802","curse","negative"
"803","cursed","negative"
"804","curses","negative"
"805","curt","negative"
"806","cuss","negative"
"807","cussed","negative"
"808","cutthroat","negative"
"809","cynical","negative"
"810","cynicism","negative"
"811","d*mn","negative"
"812","damage","negative"
"813","damaged","negative"
"814","damages","negative"
"815","damaging","negative"
"816","damn","negative"
"817","damnable","negative"
"818","damnably","negative"
"819","damnation","negative"
"820","damned","negative"
"821","damning","negative"
"822","damper","negative"
"823","danger","negative"
"824","dangerous","negative"
"825","dangerousness","negative"
"826","dark","negative"
"827","darken","negative"
"828","darkened","negative"
"829","darker","negative"
"830","darkness","negative"
"831","dastard","negative"
"832","dastardly","negative"
"833","daunt","negative"
"834","daunting","negative"
"835","dauntingly","negative"
"836","dawdle","negative"
"837","daze","negative"
"838","dazed","negative"
"839","dead","negative"
"840","deadbeat","negative"
"841","deadlock","negative"
"842","deadly","negative"
"843","deadweight","negative"
"844","deaf","negative"
"845","dearth","negative"
"846","death","negative"
"847","debacle","negative"
"848","debase","negative"
"849","debasement","negative"
"850","debaser","negative"
"851","debatable","negative"
"852","debauch","negative"
"853","debaucher","negative"
"854","debauchery","negative"
"855","debilitate","negative"
"856","debilitating","negative"
"857","debility","negative"
"858","debt","negative"
"859","debts","negative"
"860","decadence","negative"
"861","decadent","negative"
"862","decay","negative"
"863","decayed","negative"
"864","deceit","negative"
"865","deceitful","negative"
"866","deceitfully","negative"
"867","deceitfulness","negative"
"868","deceive","negative"
"869","deceiver","negative"
"870","deceivers","negative"
"871","deceiving","negative"
"872","deception","negative"
"873","deceptive","negative"
"874","deceptively","negative"
"875","declaim","negative"
"876","decline","negative"
"877","declines","negative"
"878","declining","negative"
"879","decrement","negative"
"880","decrepit","negative"
"881","decrepitude","negative"
"882","decry","negative"
"883","defamation","negative"
"884","defamations","negative"
"885","defamatory","negative"
"886","defame","negative"
"887","defect","negative"
"888","defective","negative"
"889","defects","negative"
"890","defensive","negative"
"891","defiance","negative"
"892","defiant","negative"
"893","defiantly","negative"
"894","deficiencies","negative"
"895","deficiency","negative"
"896","deficient","negative"
"897","defile","negative"
"898","defiler","negative"
"899","deform","negative"
"900","deformed","negative"
"901","defrauding","negative"
"902","defunct","negative"
"903","defy","negative"
"904","degenerate","negative"
"905","degenerately","negative"
"906","degeneration","negative"
"907","degradation","negative"
"908","degrade","negative"
"909","degrading","negative"
"910","degradingly","negative"
"911","dehumanization","negative"
"912","dehumanize","negative"
"913","deign","negative"
"914","deject","negative"
"915","dejected","negative"
"916","dejectedly","negative"
"917","dejection","negative"
"918","delay","negative"
"919","delayed","negative"
"920","delaying","negative"
"921","delays","negative"
"922","delinquency","negative"
"923","delinquent","negative"
"924","delirious","negative"
"925","delirium","negative"
"926","delude","negative"
"927","deluded","negative"
"928","deluge","negative"
"929","delusion","negative"
"930","delusional","negative"
"931","delusions","negative"
"932","demean","negative"
"933","demeaning","negative"
"934","demise","negative"
"935","demolish","negative"
"936","demolisher","negative"
"937","demon","negative"
"938","demonic","negative"
"939","demonize","negative"
"940","demonized","negative"
"941","demonizes","negative"
"942","demonizing","negative"
"943","demoralize","negative"
"944","demoralizing","negative"
"945","demoralizingly","negative"
"946","denial","negative"
"947","denied","negative"
"948","denies","negative"
"949","denigrate","negative"
"950","denounce","negative"
"951","dense","negative"
"952","dent","negative"
"953","dented","negative"
"954","dents","negative"
"955","denunciate","negative"
"956","denunciation","negative"
"957","denunciations","negative"
"958","deny","negative"
"959","denying","negative"
"960","deplete","negative"
"961","deplorable","negative"
"962","deplorably","negative"
"963","deplore","negative"
"964","deploring","negative"
"965","deploringly","negative"
"966","deprave","negative"
"967","depraved","negative"
"968","depravedly","negative"
"969","deprecate","negative"
"970","depress","negative"
"971","depressed","negative"
"972","depressing","negative"
"973","depressingly","negative"
"974","depression","negative"
"975","depressions","negative"
"976","deprive","negative"
"977","deprived","negative"
"978","deride","negative"
"979","derision","negative"
"980","derisive","negative"
"981","derisively","negative"
"982","derisiveness","negative"
"983","derogatory","negative"
"984","desecrate","negative"
"985","desert","negative"
"986","desertion","negative"
"987","desiccate","negative"
"988","desiccated","negative"
"989","desititute","negative"
"990","desolate","negative"
"991","desolately","negative"
"992","desolation","negative"
"993","despair","negative"
"994","despairing","negative"
"995","despairingly","negative"
"996","desperate","negative"
"997","desperately","negative"
"998","desperation","negative"
"999","despicable","negative"
"1000","despicably","negative"
"1001","despise","negative"
"1002","despised","negative"
"1003","despoil","negative"
"1004","despoiler","negative"
"1005","despondence","negative"
"1006","despondency","negative"
"1007","despondent","negative"
"1008","despondently","negative"
"1009","despot","negative"
"1010","despotic","negative"
"1011","despotism","negative"
"1012","destabilisation","negative"
"1013","destains","negative"
"1014","destitute","negative"
"1015","destitution","negative"
"1016","destroy","negative"
"1017","destroyer","negative"
"1018","destruction","negative"
"1019","destructive","negative"
"1020","desultory","negative"
"1021","deter","negative"
"1022","deteriorate","negative"
"1023","deteriorating","negative"
"1024","deterioration","negative"
"1025","deterrent","negative"
"1026","detest","negative"
"1027","detestable","negative"
"1028","detestably","negative"
"1029","detested","negative"
"1030","detesting","negative"
"1031","detests","negative"
"1032","detract","negative"
"1033","detracted","negative"
"1034","detracting","negative"
"1035","detraction","negative"
"1036","detracts","negative"
"1037","detriment","negative"
"1038","detrimental","negative"
"1039","devastate","negative"
"1040","devastated","negative"
"1041","devastates","negative"
"1042","devastating","negative"
"1043","devastatingly","negative"
"1044","devastation","negative"
"1045","deviate","negative"
"1046","deviation","negative"
"1047","devil","negative"
"1048","devilish","negative"
"1049","devilishly","negative"
"1050","devilment","negative"
"1051","devilry","negative"
"1052","devious","negative"
"1053","deviously","negative"
"1054","deviousness","negative"
"1055","devoid","negative"
"1056","diabolic","negative"
"1057","diabolical","negative"
"1058","diabolically","negative"
"1059","diametrically","negative"
"1060","diappointed","negative"
"1061","diatribe","negative"
"1062","diatribes","negative"
"1063","dick","negative"
"1064","dictator","negative"
"1065","dictatorial","negative"
"1066","die","negative"
"1067","die-hard","negative"
"1068","died","negative"
"1069","dies","negative"
"1070","difficult","negative"
"1071","difficulties","negative"
"1072","difficulty","negative"
"1073","diffidence","negative"
"1074","dilapidated","negative"
"1075","dilemma","negative"
"1076","dilly-dally","negative"
"1077","dim","negative"
"1078","dimmer","negative"
"1079","din","negative"
"1080","ding","negative"
"1081","dings","negative"
"1082","dinky","negative"
"1083","dire","negative"
"1084","direly","negative"
"1085","direness","negative"
"1086","dirt","negative"
"1087","dirtbag","negative"
"1088","dirtbags","negative"
"1089","dirts","negative"
"1090","dirty","negative"
"1091","disable","negative"
"1092","disabled","negative"
"1093","disaccord","negative"
"1094","disadvantage","negative"
"1095","disadvantaged","negative"
"1096","disadvantageous","negative"
"1097","disadvantages","negative"
"1098","disaffect","negative"
"1099","disaffected","negative"
"1100","disaffirm","negative"
"1101","disagree","negative"
"1102","disagreeable","negative"
"1103","disagreeably","negative"
"1104","disagreed","negative"
"1105","disagreeing","negative"
"1106","disagreement","negative"
"1107","disagrees","negative"
"1108","disallow","negative"
"1109","disapointed","negative"
"1110","disapointing","negative"
"1111","disapointment","negative"
"1112","disappoint","negative"
"1113","disappointed","negative"
"1114","disappointing","negative"
"1115","disappointingly","negative"
"1116","disappointment","negative"
"1117","disappointments","negative"
"1118","disappoints","negative"
"1119","disapprobation","negative"
"1120","disapproval","negative"
"1121","disapprove","negative"
"1122","disapproving","negative"
"1123","disarm","negative"
"1124","disarray","negative"
"1125","disaster","negative"
"1126","disasterous","negative"
"1127","disastrous","negative"
"1128","disastrously","negative"
"1129","disavow","negative"
"1130","disavowal","negative"
"1131","disbelief","negative"
"1132","disbelieve","negative"
"1133","disbeliever","negative"
"1134","disclaim","negative"
"1135","discombobulate","negative"
"1136","discomfit","negative"
"1137","discomfititure","negative"
"1138","discomfort","negative"
"1139","discompose","negative"
"1140","disconcert","negative"
"1141","disconcerted","negative"
"1142","disconcerting","negative"
"1143","disconcertingly","negative"
"1144","disconsolate","negative"
"1145","disconsolately","negative"
"1146","disconsolation","negative"
"1147","discontent","negative"
"1148","discontented","negative"
"1149","discontentedly","negative"
"1150","discontinued","negative"
"1151","discontinuity","negative"
"1152","discontinuous","negative"
"1153","discord","negative"
"1154","discordance","negative"
"1155","discordant","negative"
"1156","discountenance","negative"
"1157","discourage","negative"
"1158","discouragement","negative"
"1159","discouraging","negative"
"1160","discouragingly","negative"
"1161","discourteous","negative"
"1162","discourteously","negative"
"1163","discoutinous","negative"
"1164","discredit","negative"
"1165","discrepant","negative"
"1166","discriminate","negative"
"1167","discrimination","negative"
"1168","discriminatory","negative"
"1169","disdain","negative"
"1170","disdained","negative"
"1171","disdainful","negative"
"1172","disdainfully","negative"
"1173","disfavor","negative"
"1174","disgrace","negative"
"1175","disgraced","negative"
"1176","disgraceful","negative"
"1177","disgracefully","negative"
"1178","disgruntle","negative"
"1179","disgruntled","negative"
"1180","disgust","negative"
"1181","disgusted","negative"
"1182","disgustedly","negative"
"1183","disgustful","negative"
"1184","disgustfully","negative"
"1185","disgusting","negative"
"1186","disgustingly","negative"
"1187","dishearten","negative"
"1188","disheartening","negative"
"1189","dishearteningly","negative"
"1190","dishonest","negative"
"1191","dishonestly","negative"
"1192","dishonesty","negative"
"1193","dishonor","negative"
"1194","dishonorable","negative"
"1195","dishonorablely","negative"
"1196","disillusion","negative"
"1197","disillusioned","negative"
"1198","disillusionment","negative"
"1199","disillusions","negative"
"1200","disinclination","negative"
"1201","disinclined","negative"
"1202","disingenuous","negative"
"1203","disingenuously","negative"
"1204","disintegrate","negative"
"1205","disintegrated","negative"
"1206","disintegrates","negative"
"1207","disintegration","negative"
"1208","disinterest","negative"
"1209","disinterested","negative"
"1210","dislike","negative"
"1211","disliked","negative"
"1212","dislikes","negative"
"1213","disliking","negative"
